lemma	pos	corpus_frequency	spoken_frequency	written_frequency	literature	meb	saha	tubitak	video	class	subclass	num_docs	mps	cd	pmw	zipf	length	sc
yeni	ADJ	9373	3336	6037	2504	846	103	2687	3233	Time, Numbers & Measurement	time	1716	24	0.5564202335	1139.240937	6.056661915	4	2
yeni	NOUN	360	138	222	84	30	1	108	137	Time, Numbers & Measurement	time	271	34	0.08787289235	43.75618664	4.642244167	4	2
yeni ay	NOUN	188	1	187	0	0	0	187	1	Other	planets	165	2	0.05350194553	22.85045302	4.36119877	6	3
yenibahar	NOUN	1	0	1	0	0	0	1	0	Nature & Living Things	plants	1	1	0.0003242542153	0.1215449629	2.385766961	9	4
yenibosna	NOUN	1	0	1	0	0	0	1	0	Other	other	1	1	0.0003242542153	0.1215449629	2.385766961	9	4
yenice	ADJ	9	1	8	6	0	0	2	1	Other	other	9	1	0.002918287938	1.093904666	3.084736965	6	3
yeniden	ADV	2069	520	1549	856	198	4	495	516	Other	other	770	2	0.2496757458	251.4765282	5.400707311	7	3
yenidoğan	ADJ	2	0	2	0	0	0	2	0	People & Relationships	lineage	2	1	0.0006485084306	0.2430899258	2.56185822	9	4
yenidünya	NOUN	13	0	13	9	0	0	4	0	Food & Nutrition	fruits	4	4	0.001297016861	1.580084518	3.230865001	9	4
yenigül	ADJ	2	0	2	0	2	0	0	0	Other	other	1	1	0.0003242542153	0.2430899258	2.56185822	7	3
yenik	ADJ	51	12	39	33	2	0	4	12	Other	other	46	2	0.0149156939	6.198793107	3.800740309	5	2
yenikapı	NOUN	17	2	15	0	0	0	15	2	Other	other	4	3	0.001297016861	2.066264369	3.34000947	8	4
Yeniköy	PROPN	2	0	2	2	0	0	0	0	Other	other	1	2	0.0003242542153	0.2430899258	2.56185822	7	3
yenile	NOUN	10	7	3	0	1	0	2	7	Other	other	7	3	0.002269779507	1.215449629	3.126129651	6	3
yenileme	NOUN	2	0	2	0	0	0	2	0	Other	other	2	2	0.0006485084306	0.2430899258	2.56185822	8	4
yenilemek	VERB	190	39	151	35	21	0	95	39	Other	other	128	62	0.04150453956	23.09354295	4.365770333	9	4
yenilenebilir	ADJ	90	11	79	3	0	0	76	11	Nature & Living Things	recycling	44	1	0.01426718547	10.93904666	4.043778358	13	6
yenilenme	NOUN	1	0	1	0	0	0	1	0	Other	other	1	1	0.0003242542153	0.1215449629	2.385766961	9	4
yenilenmek	VERB	28	6	22	4	2	2	16	4	Other	other	27	21	0.008754863813	3.403258961	3.547134963	10	4
yeniletmek	VERB	2	0	2	1	0	0	1	0	Other	other	2	2	0.0006485084306	0.2430899258	2.56185822	10	4
yenileşim	NOUN	1	0	1	0	0	0	1	0	Science & Technology	information technologies	1	1	0.0003242542153	0.1215449629	2.385766961	9	4
yenilgi	NOUN	78	26	52	38	6	0	8	26	Sports, Games & Recreation	sports	56	16	0.01815823606	9.480507105	3.982364057	7	3
yenilik	NOUN	50	5	45	11	13	0	21	5	Other	other	39	16	0.0126459144	6.077248144	3.792307141	7	3
