word	imagery	concreteness	syllable_count	char_count	tclex_frequency	tclex_normalized	clc_frequency	clc_normalized	tekcan_frequency	overall_aoa_mean	overall_aoa_sd	child_aoa_mean	child_aoa_sd
damar	5.29	6.52	2	5	363	44.18	141	32.13	96	2.68	1.4	2.3	0.89
damla	5.87	6.64	2	5	826	100.54	837	192.51	84	2.14	1.14	1.97	0.79
dans	4.96	5.1	1	4	2094	254.87	563	128.3	68	2.37	1.71	1.76	0.73
davet	4.26	3.66	2	5	911	110.88	397	90.47	53	2.91	1.66	2.18	0.84
dayak	4.67	4.85	2	5	85	10.35	189	43.07	76	1.84	0.87	1.86	0.91
dede	6.39	6.48	2	4	6543	796.37	3752	862.96	118	1.52	0.71	1.42	0.58
delik	5.65	6.09	2	5	1712	208.37	585	133.31	111	1.87	0.95	1.76	0.77
demir	5.5	6.77	2	5	1152	140.21	672	154.56	135	2.08	0.99	1.87	0.76
deniz	6.49	6.57	2	5	6548	796.98	4620	1062.6	509	1.84	1.14	1.58	0.62
depo	5.58	6.67	2	4	591	71.93	205	46.72	92	2.96	1.65	2.19	0.82
dere	5.96	6.86	2	4	1047	127.43	937	213.53	58	1.97	0.91	1.79	0.74
deri	5.55	6.74	2	4	1064	129.5	481	109.61	204	2.19	1.25	2.04	1.12
dert	3.44	2.16	1	4	1059	128.89	1650	376.01	158	3.27	1.88	2.41	0.9
devlet	3.73	3.73	2	6	1251	152.26	678	154.51	902	3.11	1.67	2.57	1.04
deyim	3.11	2.84	2	5	1068	129.99	198	45.12	60	3.38	1.74	2.67	0.84
dikiş	5.52	6.33	2	5	246	29.94	16	3.65	24	2.18	1.18	1.97	0.79
din	3.38	2.22	1	3	1231	149.83	204	46.49	261	2.22	1.23	2.01	1
dinamik	3	2.76	3	7	17	2.07	2	0.46	81	4.26	2.14	2.71	1.19
dizgin	3.42	5.31	2	6	75	9.13	82	18.69	8	3.87	2.18	2.7	1.42
dostluk	4.07	1.97	2	7	408	49.66	358	81.58	86	2.57	1.54	1.95	0.86
dram	2.82	2.84	1	4	24	2.92	10	2.28	50	4.15	2.05	3.04	1.31
dua	4	2.84	2	3	1319	160.54	373	85	51	1.82	0.85	1.75	0.76
dudak	6.46	6.8	2	5	412	50.15	975	222.19	157	1.71	0.78	1.63	0.74
dükkân	6.17	6.73	2	6	1414	172.1	972	221.51	205	2.99	1.87	2.03	0.86
dürüst	3.3	2.09	2	6	311	37.85	323	73.61	54	1.89	1	1.76	0.72
duygulu	3.44	2.02	3	7	7	0.85	0	0	16	2.84	1.73	2.06	0.92
ebleh	1.85	2.67	2	5	1	0.12	0	0	2	5.71	1.99	3.3	2.2
ekonomi	3.21	3.47	4	7	209	25.44	55	12.53	336	4.33	2.07	2.87	1.13
ekran	6.27	6.74	2	5	1154	140.46	451	102.78	144	3.4	2.2	2	0.83
elektrik	4.57	5.31	4	8	3228	392.89	291	66.31	260	2.3	1.45	1.99	0.78
elem	2.32	1.78	2	4	6	0.73	10	2.28	11	4.44	2.26	2.82	1.67
eleştirmen	3.8	5.34	4	10	24	2.92	10	2.28	22	4.68	2.11	3.06	1.29
elma	6.73	6.95	2	4	1918	233.45	718	163.62	64	1.52	0.65	1.51	0.58
enerjik	3.65	2.69	3	7	50	6.09	16	3.65	14	3.95	2.08	2.86	1.25
engel	3.97	4.42	2	5	1124	136.81	490	111.66	126	2.75	1.61	2.08	0.88
enginar	5.59	6.74	3	7	30	3.65	31	7.06	31	3.92	2.22	2.76	1.39
erozyon	4.26	6.01	3	7	109	13.27	1	0.23	21	4.09	1.94	2.99	1.04
eşek	6.4	6.8	2	4	721	87.76	0	0	52	2.89	1.77	2.27	1.23
esinti	3.99	5.36	3	6	78	9.49	168	38.28	17	3.14	1.81	2.32	1.04
esir	4.64	5.06	2	4	349	42.48	126	28.98	30	3.61	2	2.4	0.91
eşit	3.57	2.78	2	4	1463	178.07	155	35.32	103	1.59	0.68	1.52	0.58
espri	3.61	2.76	2	5	433	52.7	179	40.79	28	2.72	1.6	2.05	0.86
eşsiz	2.16	2.35	2	5	241	29.33	0	0	36	3.7	2.04	2.48	1.08
eşya	5.15	6.56	2	4	2570	312.8	1009	229.94	199	1.7	0.86	1.47	0.58
et	6.43	6.76	1	2	6143	747.69	30631	7045.13	259	1.67	0.78	1.5	0.6
etken	2.57	2.98	2	5	335	40.77	36	8.2	104	4.3	2.18	3.01	1.71
ev	6.54	6.69	1	2	19692	2,396.78	14638	3335.8	1887	1.45	0.59	1.37	0.52
evlat	5.29	6	2	5	2226	270.93	410	93,43	78	2.34	1.31	2.03	0.83
evrensel	2.27	2.2	3	8	58	7.06	18	4.1	55	4.71	2.18	2.95	1.41
faiz	3.24	4.15	2	4	8	0.97	13	2.96	216	4.84	2.05	3.34	1.23
faks	5.78	6.66	1	4	12	1.46	22	5.01	129	5	2.09	3.06	1.26
fâni	2.49	2.45	2	4	14	1.7	17	3.87	9	4.08	2.19	2.6	1.28
fazlalık	3.12	3.99	3	8	8	0.97	0	0	17	3.02	1.74	2.28	0.89
felaket	3.86	3.4	3	7	237	28.85	140	32.2	68	3.06	1.72	2.36	0.98
festival	5.04	5.07	3	8	427	51.97	26	5.93	25	4.27	2.08	2.7	1.02
fincan	6.47	6.94	2	6	200	24.34	240	55.2	15	2.01	1.15	1.75	0.77
fırça	6.11	6.73	2	5	794	96.64	176	40.11	52	2.04	1.05	1.92	0.75
fobi	3.28	2.15	2	4	3	0.37	13	2.96	3	4.47	2.15	2.89	1.29
formül	4.08	4.58	2	6	208	25.32	63	14.36	50	4.19	2.02	2.89	1.25
fotoğraf	6.27	6.62	3	8	4899	596.27	1238	282.12	335	1.87	1.04	1.75	0.7
fuar	5.29	5.89	2	4	227	27.63	29	6.61	102	3.85	2.09	2.64	1.24
füze	5.99	6.7	2	4	84	10.22	17	3.87	13	4.04	2.14	2.54	1.1
gaddar	3.05	2.59	2	6	22	2.68	10	2.28	2	3.94	2.03	2.82	1.28
garanti	2.78	3.16	3	7	91	11.08	28	6.38	72	4.13	2.14	2.5	1.09
garson	6.24	6.61	2	6	118	14.36	138	31.45	90	2.77	1.69	2.09	0.83
gazete	6.51	6.81	3	6	949	115.51	1161	264.58	532	2.09	1.21	1.78	0.81
geçerlik	1.62	1.63	3	8	0	0	0	0	4	4.49	2.22	2.74	1.44
gelin	6.18	6.28	2	5	176	21.42	1014	233.22	67	2	1.09	1.81	0.74
