word	imagery	concreteness	syllable_count	char_count	tclex_frequency	tclex_normalized	clc_frequency	clc_normalized	tekcan_frequency	overall_aoa_mean	overall_aoa_sd	child_aoa_mean	child_aoa_sd
lise	6.02	5.8	2	4	267	32.5	309	70.42	148	3.05	1.66	2.59	1.12
lokanta	6.32	6.71	3	7	216	26.29	172	39.2	141	2.27	1.34	1.94	0.73
lüks	3.88	2.89	1	4	63	7.67	102	23.24	91	3.47	2.04	2.26	1.11
maaş	4.89	5.22	2	4	143	17.41	58	13.22	108	3.26	1.81	2.32	0.94
mağara	6.09	6.71	3	6	1310	159.44	716	163.17	20	2.42	1.34	2.09	0.79
makyaj	5.39	5.93	2	6	119	14.48	62	14.13	79	3.37	2.17	2.2	0.99
manken	6.3	6.28	2	6	36	4.38	95	21.65	58	3.65	2.14	2.27	0.88
marka	4.27	4.66	2	5	144	17.53	73	16.64	170	4.01	2.2	2.36	1.04
masa	6.42	6.9	2	4	2657	323.39	2854	650.39	401	1.48	0.75	1.4	0.54
mayın	5.4	6.7	2	5	53	6.45	22	5.01	1	4.4	2.1	2.82	1.16
maytap	5.12	6.64	2	6	7	0.85	2	0.46	3	3.42	2.08	2.93	1.57
medya	4.7	4.68	2	5	150	18.26	35	7.98	192	4.8	2.08	3.11	1.23
mektup	6.22	6.89	2	6	1924	234.18	1114	253.87	240	2.29	1.08	2.16	0.83
memur	5.94	6.27	2	5	292	35.54	298	67.91	191	2.74	1.62	2.31	0.94
meraklı	3.75	2.36	3	7	695	84.59	0	0	71	2.53	1.5	2	0.87
metal	5.32	6.51	2	5	975	118.67	131	29.85	87	3.1	1.82	2.26	1.17
meyve	6.31	6.63	2	5	4070	495.37	626	142.66	186	1.7	0.84	1.49	0.6
mezar	6.11	6.21	2	5	277	33.71	400	91.15	78	2.29	1.42	2.07	0.92
minder	6.31	6.86	2	6	135	16.43	161	36.69	24	3.29	1.61	2.82	0.99
mineral	3.23	5.47	3	7	369	44.91	12	2.73	52	3.52	1.91	2.81	1.16
miras	3.64	5.25	2	5	433	52.7	96	21.88	52	4.63	2.13	2.97	1.09
misafir	5.36	6.07	3	7	1561	189.99	294	67	66	1.84	0.92	1.83	0.74
mısra	4.75	5.31	2	5	74	9.01	13	2.99	20	4.58	2.08	3.4	1.53
mızrak	5.28	6.83	2	6	115	14	116	26.43	4	3.9	2.08	2.57	1.12
mızrap	3.91	6.15	2	6	18	2.19	3	0.68	1	1.73	0.78	1.66	0.61
mobilya	6.14	6.76	3	7	118	14.36	29	6.61	89	2.37	1.6	1.77	0.8
moda	3.94	3.43	2	4	211	25.68	126	28.71	133	3.44	2.05	2.23	0.94
monitör	6.14	6.76	3	7	67	8.15	11	2.51	23	4.79	2.22	2.87	1.2
moral	3.08	1.84	2	5	348	42.36	146	33.27	55	3.33	1.87	2.36	0.89
muaf	3.2	2.27	2	4	5	0.61	0	0	1	5.16	2.15	3.56	1.8
müftülük	3.64	3.96	3	8	0	0	0	0	1	5.58	1.92	3.89	1.56
mühendis	4.63	5.49	3	8	768	93.48	366	83.41	108	1.7	0.88	1.45	0.58
müşfik	1.82	2.35	2	6	4	0.49	2	0.46	2	2.48	1.45	2.03	0.79
muson	3.08	4.7	2	5	13	1.58	6	1.37	1	1.95	1.47	1.42	0.55
mutfak	6.24	6.75	2	6	1646	200.34	1219	277.79	365	4.54	2.15	3.28	1.52
mutluluk	3.72	1.85	3	8	277	33.71	0	0	151	3.24	1.76	2.44	0.97
muz	6.73	6.92	1	3	800	97.37	111	25.3	67	5.26	2.16	3.98	1.91
müzik	5.49	5.34	2	5	3471	422.47	913	208.06	399	1.91	1.07	1.7	0.71
nakavt	4.28	3.85	2	6	6	0.73	1	0.23	1	4.61	2.18	3.29	1.51
namaz	5.51	3.94	2	5	874	106.38	158	36.01	112	2.11	1.2	1.97	0.86
nefes	4.52	5.68	2	5	1748	212.76	848	193.25	128	1.89	1.02	1.63	0.71
nehir	6.25	6.67	2	5	906	110.27	394	90.62	53	2.54	1.36	2.11	0.78
nesil	2.71	3.32	2	5	351	42.72	51	11.62	64	3.75	1.97	2.61	0.95
nezle	5.18	5.2	2	5	29	3.53	17	3.87	13	2.19	1.16	2.05	0.79
nişancı	4.79	6.02	3	7	9	1.1	8	1,82	1	3.67	1.95	2.64	1.13
noksan	2.99	3	2	6	8	0.97	12	2.73	6	3.45	1.97	2.97	1.22
öğlen	4.23	4.23	2	5	259	31.52	128	29.17	18	3.26	1.77	2.72	1.06
öğrenci	6.39	6.18	3	7	5386	655.55	1400	319.04	407	1.78	0.86	1.7	0.65
oksijen	3.81	5.69	3	7	844	102.73	46	10.48	80	3.53	1.95	2.46	0.89
okul	6.44	6.6	2	4	10248	1,247.32	4922	1121.66	565	1.85	0.91	1.61	0.71
olaylı	3.24	2.61	3	6	2	0.24	0	0	1	4.29	2.13	2.81	1.38
ölü	4.97	6.17	2	3	285	34.69	501	114.17	110	1.7	0.84	1.62	0.6
ölüm	3.56	2.34	2	4	587	71.45	928	211.48	392	2.26	1.22	2.13	0.87
omuz	6.32	6.86	2	4	836	101.75	646	147.21	100	1.8	0.82	1.66	0.67
öncülük	3.2	2.23	3	7	72	8.76	13	2.96	14	2.67	1.68	1.84	0.81
önem	2.94	1.95	2	4	6263	762.29	2531	576.78	351	1.99	1.12	1.67	0.67
onursuz	2.71	1.98	3	7	1	0.12	0	0	1	4.79	2.19	3.05	1.58
orman	6.43	6.57	2	5	3997	486.49	2044	465.8	217	1.82	0.89	1.66	0.65
örnek	2.94	3.96	2	5	5303	645.45	695	158.38	417	2.04	0.97	1.89	0.76
örtü	6.04	6.75	2	4	620	75.46	465	105.97	81	2.16	1.24	1.89	0.81
oruç	4.87	3.03	2	4	549	66.82	27	6.15	62	2.19	1.39	1.98	0.78
ot	6.29	6.79	1	2	961	116.97	836	190.51	70	4.05	2.08	2.84	1.35
otel	6.06	6.62	2	4	266	32.38	995	226.75	183	2.88	1.7	2.05	0.89
otobüs	6.53	6.86	3	6	1905	231.86	0	0	213	2.61	1.34	2.22	0.79
ötücü	2.62	3.96	3	5	18	2.19	13	2.96	1	1.92	0.93	1.79	0.72
övgü	2.81	1.77	2	4	121	14.73	176	40.48	29	3.38	1.97	2.77	1.32
oynaş	2.92	3.59	2	5	1	0.12	109	25.07	1	3.25	2.36	2.47	1.03
özet	3.92	4.73	2	4	228	27.75	53	12.08	68	2.89	1.47	2.33	0.75
özgür	3.61	2.08	2	5	178	21.66	1034	237.82	72	3.39	2.02	2.13	1
özlem	3.17	1.64	2	5	267	32.5	902	207.46	73	2.59	1.56	2.08	0.94
palto	6.34	6.77	2	5	107	13.02	152	34.64	25	2.19	1.25	1.96	0.83
pamuk	6.24	6.77	2	5	629	76.56	484	111.32	55	1.97	1	1.74	0.74
papatya	6.33	6.89	3	7	423	51.48	341	78.43	12	1.74	0.82	1.63	0.64
para	6.38	6.41	2	4	5909	719.2	3644	830.42	1046	1.7	0.8	1.56	0.64
parke	5.73	6.91	2	5	32	3.89	43	9.8	16	4.11	2.15	2.7	1.07
parmak	6.49	6.89	2	6	2428	295.52	0	0	226	1.58	0.73	1.57	0.62
paslı	4.79	5.91	2	5	35	4.26	0	0	1	2.65	1.52	2.36	1.13
pasta	6.48	6.77	2	5	1410	171.62	514	117.13	79	1.99	1.29	1.75	0.66
paten	6.06	6.77	2	5	312	37.97	18	4.1	3	3.59	2.22	2.32	1.06
patik	5.75	6.66	2	5	51	6.21	11	2.51	1	1.68	0.91	1.62	0.67
patron	5.36	5.81	2	6	615	74.85	324	73.84	102	3.41	2.06	2.17	0.94
pay	3.43	4.03	1	3	416	50.63	262	59.71	152	3.2	1.81	2.52	0.84
pencere	6.54	6.93	3	7	1940	236.12	0	0	276	1.68	0.8	1.54	0.65
pense	5.79	6.94	2	5	57	6.94	4	0.91	2	3.22	1.81	2.46	1.03
peşinatsız	2.54	3.83	4	10	0	0	0	0	1	5.37	2.05	3.3	1.49
petrol	5.57	6.56	2	6	251	30.55	43	9.8	150	3.49	1.84	2.53	0.88
peynir	6.43	6.88	2	6	1503	182.94	373	85	143	1.5	0.61	1.39	0.51
pide	6.28	6.88	2	4	163	19.84	15	3.42	11	4.6	2.15	3.13	1.53
pilav	6.58	6.85	2	5	272	33.11	131	29.85	53	2.05	1.16	1.81	0.72
pilot	6.08	6.35	2	5	547	66.58	128	29.44	51	1.76	0.81	1.64	0.62
pire	4.87	6.69	2	4	259	31.52	180	41.02	5	2.66	1.78	1.95	0.83
pirinç	6.5	6.69	2	6	404	49.17	615	140.15	101	2.64	1.4	2.61	1.15
pıhtı	4.4	6.33	2	5	13	1.58	2	0.46	8	1.84	0.97	1.75	0.78
polis	6.28	6.55	2	5	1308	159.2	1076	245.21	278	1.92	1.02	1.71	0.79
pomat	2.74	5.21	2	5	0	0	0	0	1	4.97	2.29	3.5	1.65
prensip	2.85	1.98	3	7	43	5.23	3	0.68	61	4.91	2.16	3.28	1.58
protein	3.29	5.17	4	7	438	53.31	23	5.24	64	4.01	1.99	2.97	1.08
punto	3.32	4.92	2	5	12	1.46	2	0.46	1	5.8	1.94	3.5	1.93
pusu	3.39	4.39	2	4	84	10.22	48	10.94	7	3.96	2.08	2.7	1.17
radyo	6.47	6.75	2	5	658	80.09	226	51.5	140	2.11	1.32	1.79	0.72
radyum	2.61	5.32	2	6	15	1.83	0	0	2	6.24	1.62	3.93	2.09
rahatsız	2.9	2.6	3	8	952	115.87	0	0	21	2.33	1.28	1.85	0.8
rakam	5.89	4.14	2	5	1483	180.5	78	17.78	148	2.02	1.06	1.86	0.76
rakip	4.04	4.7	2	5	704	85.69	132	30.36	117	2.91	1.64	2.21	0.94
reklam	5.06	5.39	2	6	526	64.02	235	53.55	211	2.97	2.06	1.68	0.78
rezalet	2.6	2.69	3	7	31	3.77	16	3.65	31	3.86	2.04	2.61	1.18
röfle	3.81	5.94	2	5	0	0	1	0.23	1	5.47	2.08	3.3	1.61
rüzgâr	5.14	6.09	2	6	2816	342.74	1448	333.04	185	1.83	0.87	1.7	0.68
sabır	2.77	1.5	2	5	424	51.61	366	84.18	44	2.93	1.81	2.09	0.91
sadist	3.55	3.81	2	6	0	0	0	0	1	3.57	1.97	2.46	1.07
sadık	2.88	2.07	2	5	310	37.73	104	23.92	32	5.71	1.97	3.54	1.85
sağlam	3.58	3.66	2	6	731	88.97	305	69.51	120	2.26	1.25	1.92	0.8
şahane	3.23	2.02	3	6	182	22.15	68	15.64	11	2.7	1.72	1.97	0.81
sahil	6.29	6.38	2	5	585	71.2	263	59.93	73	1.92	1.04	1.7	0.88
şair	4.99	5.59	2	4	337	41.02	609	138.78	125	2.34	1.53	1.82	0.68
salata	6.51	6.79	3	6	530	64.51	120	27.35	72	2.63	1.54	2.03	0.82
salon	5.59	6.33	2	5	1670	203.26	1482	337.73	244	2.14	1.23	1.89	0.8
şalter	5.09	6.73	2	6	22	2.68	1	0.23	6	2.77	1.85	1.98	0.78
şamata	3.81	3.46	3	6	39	4.75	88	20.05	3	4.76	2.21	3.46	1.69
sanatçı	4.5	5.14	3	7	363	44.18	198	45.12	219	4.16	2.16	2.73	1.43
sandık	6.47	6.86	2	6	833	101.39	585	133.31	17	3.93	2.09	2.67	1.24
saray	6.05	6.56	2	5	1091	132.79	1768	406.64	129	1.88	0.99	1.59	0.61
sarp	3.82	4.44	1	4	67	8.15	111	25.53	1	4.28	2.05	2.92	1.19
sarsıcı	2.68	2.68	3	7	0	0	13	2.96	4	2.05	1.11	1.68	0.78
sazlık	4.93	6.52	2	6	58	7.06	36	8.2	2	3.43	2.09	2.88	1.28
şebek	4.14	5.56	2	5	5	0.61	4	0.91	1	2.76	1.66	2.03	0.8
sebze	6.19	6.71	2	5	1457	177.34	244	55.6	128	3.45	1.92	2.36	1
seçmen	4.82	6.2	2	6	6	0.73	5	1.14	52	2.02	1.03	1.84	0.84
şeffaf	4.35	4.37	2	6	89	10.83	33	7.52	12	1.65	0.8	1.57	0.71
şeker	6.18	6.63	2	5	1895	230.65	862	196.44	143	4.44	2.01	3.02	0.99
selam	4.21	4.13	2	5	1530	186.22	74	16.86	67	2.25	1.26	2.02	0.9
semer	4.38	6.42	2	5	25	3.04	42	9.57	1	1.88	0.96	1.7	0.69
serbest	2.37	2.09	2	7	832	101.27	159	36.23	108	3.06	1.89	2.34	1.17
sergi	5.94	6.11	2	5	456	55.5	153	34.87	71	2.07	1.08	1.78	0.82
serin	3.92	5.03	2	5	378	46.01	499	114.77	50	2.34	1.27	2.03	0.84
ses	4.33	5.45	1	3	18425	2,242.57	12403	2826.48	1113	3.84	2.14	2.44	1.03
sesteş	2.89	3.33	2	6	23	2.8	0	0	1	4.73	2.3	3.15	1.67
sevap	2.61	1.64	2	5	64	7.79	21	4.83	19	2.54	1.57	2.04	0.89
sevgi	3.5	1.73	2	5	2093	254.75	1830	420.9	294	5.17	2.1	3.31	1.49
sevgili	5.3	4.69	3	7	71	8.64	1184	269.82	257	2.21	1.37	1.93	0.82
sevinç	3.58	1.74	2	6	1066	129.75	2343	538.89	124	2.5	1.57	2.03	0.84
seyirci	6.16	6.47	3	7	534	64.99	234	53.33	85	4.54	2.15	2.85	1.18
sezon	2.76	3.59	2	5	76	9.25	5	1.14	66	1.63	0.83	1.48	0.61
sicil	2.85	3.79	2	5	4	0.49	2	0.46	15	1.71	0.72	1.62	0.63
şiddetli	3.48	2.43	3	8	331	40.29	0	0	53	1.68	0.74	1.61	0.64
sigara	6.52	6.78	3	6	186	22.64	318	72.47	315	2.51	1.61	1.84	0.84
sinema	5.92	5.59	3	6	750	91.29	710	161.8	265	4.6	2.14	3.05	1.34
sığlık	2.88	3.71	2	6	0	0	1	0,23	1	4.14	2.05	2.8	0.94
sıkı	2.91	3.89	2	4	713	86.78	749	170.69	102	5.32	2.08	3.55	1.66
slogan	3.97	4.57	2	6	185	22.52	18	4.1	57	3.47	2	2.28	1.07
sofra	6.27	6.37	2	5	720	87.63	731	166.59	93	3.58	2.22	2.04	0.94
soğan	6.36	6.9	2	5	478	58.18	192	43.75	95	3.03	1.88	2.37	1.06
soğuk	4.98	5.43	2	5	2579	313.9	1034	235.63	240	4.4	2.02	2.93	0.88
sohbet	4.57	3.83	2	6	932	113.44	481	109.61	77	4.49	2.23	2.71	1.27
şok	3.23	2.51	1	3	329	40.04	92	20.97	67	4.47	2.12	2.8	1.22
solo	3.38	4.33	2	4	36	4.38	10	2.28	1	1.26	0.5	1.17	0.4
somut	3.35	3.18	2	5	71	8.64	43	9.8	64	2.4	1.41	1.96	0.88
sondaj	3.69	5.77	2	6	34	4.14	0	0	5	2.41	1.23	2.08	0.89
sonsuz	2.44	1.51	2	6	749	91.16	0	0	100	3.25	1.81	2.71	1.39
sörf	5.53	6.3	1	4	214	26.05	8	1.82	9	4.8	2.2	3.56	1.71
sos	5.37	6.64	1	3	456	55.5	43	9.8	100	3.88	2.11	2.77	1.2
soytarı	5.56	5.24	3	7	38	4.63	31	7.06	1	3.58	1.98	2.42	1.25
soyut	2.48	1.51	2	5	99	12.05	42	9.57	55	2.38	1.67	1.65	0.68
standart	2.86	2.47	3	8	233	28.36	10	2.28	153	1.36	0.56	1.28	0.52
su	6.49	6.8	1	2	19751	2,403.96	7734	1778.82	1537	2.88	1.71	2.25	0.84
suç	3.45	2.48	1	3	774	94.21	994	226.52	221	2.9	1.6	2.23	0.97
suçlu	3.74	4.69	2	5	327	39.8	0	0	58	4.29	2.17	2.77	1.24
sulak	3.41	5.04	2	5	196	23.86	22	5.06	1	3.17	1.91	2.5	1.24
sülün	2.45	5.53	2	5	8	0.97	33	7.59	4	3.42	2.01	2.63	1.27
süngü	4.82	6.55	2	5	33	4.02	19	4.33	1	3.59	1.96	2.37	0.91
şüphe	3.16	1.61	2	5	377	45.89	171	38.97	70	1.41	0.64	1.38	0.54
süresiz	1.72	2.15	3	7	1	0.12	0	0	3	2.85	1.59	2.24	0.9
sürpriz	3.43	2.71	2	7	1222	148.73	370	84.32	49	3.79	2.1	2.43	0.9
süt	6.42	6.79	1	3	3124	380.23	810	184.59	200	3.34	1.9	2.35	1.06
tabanca	6.44	6.93	3	7	216	26.29	147	33.5	72	2.07	1.26	1.84	0.85
tabu	3.2	2.25	2	4	7	0.85	3	0.68	14	5.11	2.14	2.92	1.19
tabure	5.88	6.7	3	6	55	6.69	72	16.41	13	2.26	1.45	1.97	0.85
tahta	6.24	6.94	2	5	1979	240.87	936	213.3	155	1.95	0.99	1.81	0.76
takat	2.11	2.52	2	5	16	1.95	8	1.82	1	4.39	2.22	2.94	1.29
takoz	4.8	6.46	2	5	8	0.97	1	0.23	7	3.85	2.04	2.89	1.3
taksi	6.38	6.79	2	5	278	33.84	260	59.25	56	2.37	1.52	1.79	0.78
taksit	3.92	4.58	2	6	67	8.15	16	3.65	89	4.13	2.14	2.52	1.13
tane	3.76	4.76	2	4	6480	788.7	1729	394.02	273	1.85	0.9	1.75	0.76
tanıtım	3.45	3.72	3	7	231	28.12	43	9.8	63	3.95	2.04	2.56	1
taşıt	5.93	6.63	2	5	854	103.94	111	25.3	92	2.4	1.48	1.91	0.89
tatil	4.76	3.31	2	5	1350	164.31	758	172.74	165	2.38	1.49	1.92	0.77
tavuk	6.69	6.88	2	5	1328	161.64	0	0	92	1.5	0.64	1.46	0.53
taze	4.03	3.94	2	4	628	76.44	346	78.85	120	2.05	1.03	1.8	0.79
tehlike	3.19	2.57	3	7	2360	287.24	763	173.88	195	2.36	1.35	2.04	0.87
teke	4.23	6.04	2	4	41	4.99	11	2.51	1	3.55	2.13	2.92	1.67
tekne	6.25	6.84	2	5	819	99.68	536	122.15	108	2.5	1.69	1.83	0.74
telaş	4.16	2.49	2	5	507	61.71	753	171,6	58	2.73	1.51	2.3	0.97
televizyon	6.55	6.89	4	10	1736	211.29	1141	260.02	406	2.73	2.23	1.32	0.47
temas	3.9	4.6	2	5	328	39.92	45	10.25	52	3.3	1.99	2.38	1.05
temiz	4.33	3.89	2	5	982	119.52	580	132.17	168	1.74	0.82	1.72	0.64
tenis	5.91	6.05	2	5	318	38.7	52	11.85	37	3.56	2.11	2.32	0.99
tepsi	6.13	6.75	2	5	349	42.48	330	75.2	69	1.84	0.84	1.77	0.69
ter	6.02	6.55	1	3	596	72.54	827	188.46	74	1.86	0.97	1.75	0.83
terazi	6.3	6.58	3	6	316	38.46	63	14.36	10	2.28	1.14	2.03	0.86
terslik	2.91	2.26	2	7	10	1.22	0	0	6	3.37	1.86	2.54	1.09
tilki	6.21	6.79	2	5	548	66.7	599	137.77	22	4.42	2.26	2.72	1.39
titiz	3.72	2.48	2	5	56	6.82	71	16.18	26	2	1.13	2.67	0.94
tıknaz	3.92	4.48	2	6	7	0.85	8	1.82	1	3.56	1.94	1.6	0.65
tıp	3.87	3.41	1	3	430	52.34	116	26.43	55	1.65	0.71	2.44	1.16
tırnak	6.62	6.9	2	6	450	54.77	433	98.67	62	3.89	2.16	1.78	0.75
tırtık	3.41	5.32	2	6	51	6.21	1	0.23	1	3	1.74	2.28	1
torba	6.03	6.87	2	5	528	64.26	800	182.31	96	1.85	0.75	1.82	0.67
tortul	3.14	5.52	2	6	36	4.38	2	0.46	1	5.03	2.19	2.9	1.49
toz	5.26	6.09	1	3	1440	175.27	998	229.54	111	1.81	0.91	1.65	0.68
trafik	5.92	5.35	3	6	2076	252.68	205	46.72	368	2.68	1.72	1.88	0.69
tren	6.45	6.9	2	4	1223	148.86	479	109.16	83	1.97	1.09	1.67	0.66
tuhaf	3.16	1.88	2	5	1064	129.5	1189	270.96	79	3.18	5.06	2.25	1.1
tüketim	3.42	3.73	3	7	273	33.23	18	4.1	135	3.97	2.06	2.62	1.01
turizm	3.67	3.28	2	6	163	19.84	48	10.94	120	4.21	2.17	2.44	1.04
tutku	3.85	2.14	2	5	129	15.7	192	43.75	62	3.8	2.06	2.51	1.05
tütün	6.07	6.82	2	5	22	2.68	93	21.19	28	3.51	1.97	2.79	1.21
tüy	5.51	6.68	1	3	1559	189.75	1056	242.88	78	1.91	0.98	1.72	0.77
uçak	6.47	6.91	2	4	2429	295.64	781	177.98	194	2.09	1.31	1.65	0.73
ücret	4.39	5.2	2	5	271	32.98	103	23.47	177	2.78	1.82	1.82	0.8
uçuş	4.3	4.72	2	4	233	28.36	344	79.12	20	3.23	1.82	2.64	1.17
uğultu	3.56	4.77	3	6	89	10.83	268	61.07	23	2.93	1.76	2.2	0.98
uğur	2.73	1.58	2	4	340	41.38	336	76.57	51	1.79	0.81	1.7	0.71
ülser	3.44	5.1	2	5	4	0.49	2	0.46	16	3.58	2.28	2.46	1.43
ümitli	2.8	2.1	3	6	4	0.49	0	0	3	2.62	1.6	2	0.86
un	6.39	6.84	1	2	1059	128.89	233	53.1	119	4.11	2.03	2.97	1.2
üretici	3.35	5.06	4	7	123	14.97	16	3.68	100	1.49	0.63	1.41	0.54
urgan	4.73	6.14	2	5	43	5.23	40	9.12	1	3.34	1.95	2.27	1.06
üşengeç	3.62	3.06	3	7	2	0.24	37	8.43	1	3.34	1.96	2.32	0.99
ütopya	3.04	1.61	3	6	3	0.37	6	1.37	11	1.81	1.01	1.61	0.67
uyarı	3.01	3.28	3	5	550	66.94	268	61.07	107	3.7	2.04	2.53	1.2
uygarlık	3.81	3.1	3	8	216	26.29	0	0	61	1.84	0.98	1.57	0.69
uyku	4.85	3.4	2	4	2698	328.38	1971	449.16	163	3	1.86	2.04	0.85
uyum	2.74	2.06	2	4	420	51.12	263	59.93	139	5.37	2.01	4.06	1.85
uyumlu	2.89	2.1	3	6	194	23.61	0	0	55	3.26	1.87	2.23	0.93
uzak	3.65	2.87	2	4	624	75.95	2914	664.06	444	3.49	1.97	2.34	1.15
uzay	4.89	4.64	2	4	4739	576.8	760	173.19	62	3.37	1.93	2.58	1.34
üzüm	6.57	6.93	2	4	562	68.4	0	0	61	5.83	1.88	3.43	1.45
uzun	4.65	4.68	2	4	7769	945.59	5278	1202.79	781	1.52	0.59	1.47	0.54
vali	5.09	6.11	2	4	144	17.53	180	41.02	80	3.39	1.8	2.75	1.12
varlık	3.14	3.78	2	6	1701	207.03	653	148.81	349	2.95	1.72	2.1	0.92
vatan	4.06	4.43	2	5	906	110.27	234	53.82	58	2.52	1.33	2.19	1.01
vicdan	2.32	1.39	2	6	91	11.08	82	18.69	75	3.47	2	2.46	1.15
virüs	3.13	5.13	2	5	514	62.56	93	21.19	97	4.61	2.07	3.28	1.37
viski	6.05	6.83	2	5	2	0.24	11	2.51	27	4.95	2.1	3.11	1.25
vitrin	5.99	6.56	2	6	117	14.24	216	49.22	64	3.43	1.92	2.46	1.06
yağcılık	3.07	2.39	3	8	0	0	2	0.46	4	4.2	2.13	2.86	1.31
yağış	5.87	6.04	2	5	331	40.29	0	0	24	2.32	1.23	2.01	0.79
yağmur	6.45	6.55	2	6	3410	415.04	1746	401.58	160	1.64	0.69	1.58	0.68
yakıt	4.98	6.48	2	5	600	73.03	39	8.89	72	3.21	1.79	2.43	1.03
yalan	2.68	2.35	2	5	1031	125.49	1069	243.61	127	2.05	1.1	1.84	0.76
yalı	6.02	6.73	2	4	32	3.89	47	10.71	18	3.67	2.13	2.59	1.22
yama	5.41	6.45	2	4	58	7.06	58	13.34	1	2.76	1.59	2.44	1.13
yangın	5.74	6.07	2	6	827	100.66	218	49.68	103	1.95	1.02	1.71	0.67
yansız	2.59	2.29	2	6	3	0.37	0	0	6	4.24	2.16	2.8	1.52
yara	5.71	6.21	2	4	661	80.45	1227	282.21	82	1.71	0.78	1.68	0.72
yardım	3.47	2.92	2	6	9029	1,098.95	2327	530.29	289	2.12	1.18	1.87	0.8
yarım	4.52	4.37	2	5	1756	213.73	788	179,57	131	2.06	1.15	1.72	0.71
yarış	4.81	4.83	2	5	1889	229.92	602	138.46	101	2.02	1.07	1.7	0.72
yastık	6.57	6.91	2	6	467	56.84	434	98.9	77	1.44	0.59	1.38	0.56
yatsı	3.6	4.39	2	5	56	6.82	18	4.1	1	2.8	1.61	2.33	1.01
yavru	4.85	5.52	2	5	3341	406.64	1724	392.88	122	1.82	0.92	1.61	0.7
yeni	3.49	2.62	2	4	9733	1,184.64	4567	1040.76	1597	1.67	0.74	1.5	0.57
yoga	4.4	3.38	2	4	22	2.68	15	3.42	5	5.35	2.08	3.06	1.55
yoğurt	6.51	6.79	2	6	729	88.73	126	28.71	71	1.63	0.75	1.51	0.6
yonca	6.04	6.6	2	5	72	8.76	73	16.79	3	2.68	1.69	2.16	1.07
yorgun	4.61	3.41	2	6	589	71.69	1056	240.65	100	2.18	1.22	1.83	0.79
yorgunluk	4.2	2.8	3	9	64	7.79	0	0	63	2.44	1.49	1.93	0.91
yorum	2.76	2.37	2	5	376	45.76	197	44.89	97	3.85	2.05	2.45	1.04
yüce	3.56	1.78	2	4	420	51.12	411	93.66	81	3.3	1.92	2.41	1.15
yüzük	6.7	6.81	2	5	224	27.26	305	69.51	50	1.95	1.08	1.73	0.76
zaman	2.58	2.19	2	5	26977	3,283.46	13496	3104.08	2394	2.02	1.14	1.7	0.74
zarar	3.17	2.41	2	5	2648	322.3	794	180.94	245	2.3	1.33	2	0.87
zararlı	2.92	2.59	3	7	579	70.47	0	0	84	1.99	1.06	1.86	0.76
zekâ	2.92	2.33	2	4	834	101.51	94	21.42	66	2.35	1.29	1.92	0.82
zeki	3.69	2.29	2	4	629	76.56	192	44.16	39	2.27	1.31	1.82	0.74
zeytin	6.51	6.92	2	6	610	74.25	352	80.22	64	1.7	0.77	1.59	0.66
zihin	2.91	2.5	2	5	912	111	166	37.83	77	4.48	2.29	2.98	1.34
zılgıt	3.48	4.01	2	6	2	0.24	12	2.73	1	3.12	1.84	2.3	1.1
