lemma	pos	frequency	source	class	subclass
ekran kilidi	NOUN	1	tubitak	Science & Technology	information technologies
elektrik çarpması	NOUN	1	meb	Earth, Geography & Natural Phenomena	disasters
elektrik kaçağı	NOUN	1	meb	Science & Technology	energy resources
elinden geleni yapmak	VERB	1	literature	Education & Language	idioms
elini sıcak sudan soğuk suya sokmamak	VERB	1	video	Education & Language	idioms
ensesinde boza pişirmek	VERB	1	video	Education & Language	idioms
erken kalkan yol alır	NA	1	literature	Education & Language	proverbs
eşeklik etmek	VERB	1	video	Education & Language	idioms
eşiğine yüz sürmek	VERB	1	literature	Education & Language	idioms
eşiğini aşındırmak	VERB	1	literature	Education & Language	idioms
et tırnak olmak	VERB	1	literature	Education & Language	idioms
etekleri tutuşmak	VERB	1	literature	Education & Language	idioms
etle tırnak gibi	NA	1	video	People & Relationships	friendship
ezbere iş görmek	VERB	1	meb	Education & Language	idioms
faça etmek	VERB	1	literature	Education & Language	idioms
façası olmak	VERB	1	literature	Education & Language	idioms
façasını almak	VERB	1	literature	Education & Language	idioms
fasıla vermek	VERB	1	tubitak	Education & Language	idioms
fedakârlık etmek	VERB	1	literature	Personality, Values & Behavior	behavior
felç gelmek	VERB	1	literature	Health & Medicine	diseases
felce uğramak	VERB	1	video	Education & Language	idioms
felce uğratmak	VERB	1	tubitak	Education & Language	idioms
feleğe küsmek	VERB	1	literature	Education & Language	idioms
feleğin sillesine uğramak	VERB	1	tubitak	Education & Language	idioms
feleğin sillesini yemek	VERB	1	literature	Education & Language	idioms
felekten kâm almak	VERB	1	tubitak	Education & Language	idioms
fenersiz yakalanmak	VERB	1	video	Education & Language	idioms
feryadı basmak	VERB	1	literature	Sound & Communication Phenomena	sounds
fiile koymak	VERB	1	video	Education & Language	idioms
fikir yormak	VERB	1	video	Emotions & Mental Processes	intelligence and reasoning
fil dişi kuleden bakmak	VERB	1	video	Education & Language	idioms
filinta gibi	NA	1	video	Personality, Values & Behavior	appearance
fiske fiske kabarmak	VERB	1	tubitak	Education & Language	idioms
fiske fiske olmak	VERB	1	literature	Education & Language	idioms
fitne sokmak	VERB	1	literature	Education & Language	idioms
fiyat biçmek	VERB	1	literature	Work & Economy	financial concepts
fiyat kırmak	VERB	1	literature	Work & Economy	financial concepts
fındık kabuğunu doldurmaz	NA	1	literature	Education & Language	idioms
fırsatı ganimet bilmek	VERB	1	tubitak	Education & Language	idioms
fırsatını düşürmek	VERB	1	literature	Education & Language	idioms
forsu olmak	VERB	1	video	Education & Language	idioms
forsunu kaybetmek	VERB	1	literature	Education & Language	idioms
forsunu yitirmek	VERB	1	tubitak	Education & Language	idioms
fütur getirmek	VERB	1	meb	Education & Language	idioms
gaflet basmak	VERB	1	literature	Education & Language	idioms
gaflete düşmek	VERB	1	literature	Education & Language	idioms
gazel okumak	VERB	1	tubitak	Education & Language	idioms
geçer not	NOUN	1	video	Education & Language	lesson
gelen gideni aratır	NA	1	tubitak	Education & Language	proverbs
gemi azıya almak	VERB	1	tubitak	Education & Language	idioms
gırla gitmek	VERB	1	video	Education & Language	idioms
görmezlikten gelmek	VERB	1	video	Personality, Values & Behavior	behavior
göz hapsine almak	VERB	1	video	Education & Language	idioms
gözaltına almak	VERB	1	video	Transportation, Travel & Safety	safety rules
gözdağı vermek	VERB	1	literature	Education & Language	idioms
gözlem altına almak	VERB	1	literature	Education & Language	idioms
gözü açık gitmek	VERB	1	video	Education & Language	idioms
güdük kalmak	VERB	1	tubitak	Education & Language	idioms
gündem dışı	NOUN	1	literature	Home & Domestic Life	out of routine
ha bire	NA	1	video	Education & Language	idioms
hacet kalmamak	VERB	1	video	Education & Language	idioms
Hak getire	NA	1	literature	Education & Language	idioms
hâli vakti yerinde	NA	1	literature	Education & Language	idioms
haram yemek	VERB	1	meb	History, Politics & Religion	religion
hatırı sayılır	NA	1	tubitak	Education & Language	idioms
hayale kapılmak	VERB	1	video	Emotions & Mental Processes	emotions
hayra yormak	VERB	1	literature	Education & Language	idioms
hazır yemek	VERB	1	meb	Education & Language	idioms
heder etmek	VERB	1	video	Education & Language	idioms
her kafadan ayrı ses çıkmak	VERB	1	tubitak	Education & Language	idioms
hesaba dökmek	VERB	1	video	Education & Language	idioms
hık mık etmek	VERB	1	literature	Education & Language	idioms
hüküm giymek	VERB	1	literature	Education & Language	idioms
ibaret kalmak	VERB	1	literature	Education & Language	idioms
ibiş gibi	NA	1	literature	Education & Language	idioms
ibraz etmek	VERB	1	literature	Other	other
ibre birinden yana dönmek	VERB	1	literature	Education & Language	idioms
iç güveyisi girmek	VERB	1	video	People & Relationships	kinship
iç güveyisinden hâllice	NA	1	video	Education & Language	idioms
icara vermek	VERB	1	video	Work & Economy	financial concepts
icazet almak	VERB	1	literature	Education & Language	idioms
icazet vermek	VERB	1	literature	Education & Language	idioms
içi alaylı, dışı kalaylı	NA	1	meb	Education & Language	idioms
içi bulanmak	VERB	1	video	Emotions & Mental Processes	emotions
içi burkulmak	VERB	1	tubitak	Emotions & Mental Processes	emotions
içi ezilmek	VERB	1	tubitak	Education & Language	idioms
içi ezim ezim ezilmek	VERB	1	literature	Education & Language	idioms
içi kazınmak	VERB	1	literature	Education & Language	idioms
için için gülmek	VERB	1	literature	Education & Language	idioms
