lemma	pos	frequency	source	class	subclass
kontak anahtarı	NOUN	1	literature	Transportation, Travel & Safety	vehicles
köprünün altından çok su aktı	NA	1	literature	Education & Language	idioms
korkuya kesmek	VERB	1	literature	Education & Language	idioms
koşun bağlamak	VERB	1	tubitak	Education & Language	idioms
kötü yola sapmak	VERB	1	video	Personality, Values & Behavior	morality
kötü yola saptırmak	VERB	1	tubitak	Personality, Values & Behavior	morality
kötü yola sürüklemek	VERB	1	literature	Personality, Values & Behavior	morality
koynunda yılan beslemek	VERB	1	meb	Education & Language	idioms
kozunu oynamak	VERB	1	literature	Education & Language	idioms
küçükle küçük, büyükle büyük olmak	VERB	1	meb	Education & Language	idioms
küf tutmak	VERB	1	video	Education & Language	idioms
kül yemek	VERB	1	literature	Education & Language	idioms
kulağına çalınmak	VERB	1	literature	Education & Language	idioms
kulağına koymak	VERB	1	literature	Education & Language	idioms
külahını havaya atmak	VERB	1	literature	Education & Language	idioms
kulakları paslanmak	VERB	1	video	Education & Language	idioms
külçe gibi oturmak	VERB	1	tubitak	Education & Language	idioms
külçe kesilmek	VERB	1	literature	Education & Language	idioms
külfete katlanmak	VERB	1	meb	Education & Language	idioms
kulp takmak	VERB	1	literature	Education & Language	idioms
kündeden atmak	VERB	1	literature	Education & Language	idioms
kündeye almak	VERB	1	literature	Education & Language	idioms
kündeye gelmek	VERB	1	literature	Education & Language	idioms
kündeye getirilmek	VERB	1	literature	Education & Language	idioms
kündeye getirmek	VERB	1	literature	Education & Language	idioms
künyesi gelmek	VERB	1	literature	Education & Language	idioms
kupkuru kesilmek	VERB	1	literature	Education & Language	idioms
küpünü doldurmak	VERB	1	tubitak	Education & Language	idioms
kurban gitmek	VERB	1	literature	Education & Language	idioms
